"From (address)"|"From (display)"|"Sent on behalf of (address)"|"Date Sent"|"Subject"|"Body"|"Body HTML"
|"Eric Niederer"||"6/26/2014 10:38:03 AM"|"Barclays Initiates Coverage On Internet Stocks"|"In Thursday's morning summary, the team at Barclays initiated coverage on a number ...

 <http://feeds.feedburner.com/~r/benzinga/analyst-ratings/initiation/~4/LdlumDNm-Ps> 


View article... <http://feeds.benzinga.com/~r/benzinga/analyst-ratings/initiation/~3/LdlumDNm-Ps/barclays-initiates-coverage-on-internet-stocks> 

"|"<html><head><base href=""http://feeds.benzinga.com/benzinga/analyst-ratings/initiation?format=xml""></head><style><!-- body {font-family:""Calibri"";} --></style><body><table><tr><td><p>  In Thursday&#39;s morning summary, the team at Barclays initiated coverage on a number ...</p><img src=""http://feeds.feedburner.com/~r/benzinga/analyst-ratings/initiation/~4/LdlumDNm-Ps"" height=""1"" width=""1""/></td></tr></table><p><BR/><A HREF=""http://feeds.benzinga.com/~r/benzinga/analyst-ratings/initiation/~3/LdlumDNm-Ps/barclays-initiates-coverage-on-internet-stocks"">View article...</A></p></body></html>"
|"Eric Niederer"||"6/26/2014 10:34:16 AM"|"UPDATE: Barclays Initiates Coverage On Google"|"In a note released Thursday, Barclays initiated coverage on Google (NASDAQ: GOOG <http://feeds.benzinga.com/stock/goog#NASDAQ> ) ...

 <http://feeds.feedburner.com/~r/benzinga/analyst-ratings/initiation/~4/uxElAy1KpWk> 


View article... <http://feeds.benzinga.com/~r/benzinga/analyst-ratings/initiation/~3/uxElAy1KpWk/update-barclays-initiates-coverage-on-google> 

"|"<html><head><base href=""http://feeds.benzinga.com/benzinga/analyst-ratings/initiation?format=xml""></head><style><!-- body {font-family:""Calibri"";} --></style><body><table><tr><td><p>  In a note released Thursday, Barclays initiated coverage on <strong>Google </strong>(NASDAQ: <a class=""ticker"" href=""/stock/goog#NASDAQ"">GOOG</a>) ...</p><img src=""http://feeds.feedburner.com/~r/benzinga/analyst-ratings/initiation/~4/uxElAy1KpWk"" height=""1"" width=""1""/></td></tr></table><p><BR/><A HREF=""http://feeds.benzinga.com/~r/benzinga/analyst-ratings/initiation/~3/uxElAy1KpWk/update-barclays-initiates-coverage-on-google"">View article...</A></p></body></html>"
|"Ali Berri"||"6/26/2014 10:31:19 AM"|"UPDATE: Barclays Initiates Coverage On Netflix, Upside Already Priced In "|"In a report released Thursday, Barclays analyst Paul Vogel initiated coverage on Netflix ...

 <http://feeds.feedburner.com/~r/benzinga/analyst-ratings/initiation/~4/UpKQAQf6WHI> 


View article... <http://feeds.benzinga.com/~r/benzinga/analyst-ratings/initiation/~3/UpKQAQf6WHI/update-barclays-initiates-coverage-on-netflix-upside-alread> 

"|"<html><head><base href=""http://feeds.benzinga.com/benzinga/analyst-ratings/initiation?format=xml""></head><style><!-- body {font-family:""Calibri"";} --></style><body><table><tr><td><p>  In a report released Thursday, Barclays analyst Paul Vogel initiated coverage on <strong>Netflix</strong> ...</p><img src=""http://feeds.feedburner.com/~r/benzinga/analyst-ratings/initiation/~4/UpKQAQf6WHI"" height=""1"" width=""1""/></td></tr></table><p><BR/><A HREF=""http://feeds.benzinga.com/~r/benzinga/analyst-ratings/initiation/~3/UpKQAQf6WHI/update-barclays-initiates-coverage-on-netflix-upside-alread"">View article...</A></p></body></html>"
|"Ali Berri"||"6/26/2014 10:29:01 AM"|"UPDATE: Barclays Initiates Coverage On Facebook"|"In a report released Thursday, Barclays analyst Paul Vogel ...

 <http://feeds.feedburner.com/~r/benzinga/analyst-ratings/initiation/~4/9gNDuc9rEao> 


View article... <http://feeds.benzinga.com/~r/benzinga/analyst-ratings/initiation/~3/9gNDuc9rEao/update-barclays-initiates-coverage-on-facebook> 

"|"<html><head><base href=""http://feeds.benzinga.com/benzinga/analyst-ratings/initiation?format=xml""></head><style><!-- body {font-family:""Calibri"";} --></style><body><table><tr><td><p>  In a report released Thursday, Barclays analyst Paul Vogel ...</p><img src=""http://feeds.feedburner.com/~r/benzinga/analyst-ratings/initiation/~4/9gNDuc9rEao"" height=""1"" width=""1""/></td></tr></table><p><BR/><A HREF=""http://feeds.benzinga.com/~r/benzinga/analyst-ratings/initiation/~3/9gNDuc9rEao/update-barclays-initiates-coverage-on-facebook"">View article...</A></p></body></html>"
|"Eric Niederer"||"6/26/2014 9:12:17 AM"|"2 Wall Street Banks Comment On Twitter"|"Twitter (NYSE: TWTR <http://feeds.benzinga.com/stock/twtr#NYSE> ) shares have received a bump in ...

 <http://feeds.feedburner.com/~r/benzinga/analyst-ratings/initiation/~4/odqdapJFLew> 


View article... <http://feeds.benzinga.com/~r/benzinga/analyst-ratings/initiation/~3/odqdapJFLew/analyst-firms-comment-on-twitter> 

"|"<html><head><base href=""http://feeds.benzinga.com/benzinga/analyst-ratings/initiation?format=xml""></head><style><!-- body {font-family:""Calibri"";} --></style><body><table><tr><td><p>  <strong>Twitter </strong>(NYSE: <a class=""ticker"" href=""/stock/twtr#NYSE"">TWTR</a>) shares have received a bump in ...</p><img src=""http://feeds.feedburner.com/~r/benzinga/analyst-ratings/initiation/~4/odqdapJFLew"" height=""1"" width=""1""/></td></tr></table><p><BR/><A HREF=""http://feeds.benzinga.com/~r/benzinga/analyst-ratings/initiation/~3/odqdapJFLew/analyst-firms-comment-on-twitter"">View article...</A></p></body></html>"
|"Monica Gerson"||"6/26/2014 7:58:55 AM"|"Benzinga's Top Initiations"|"Analysts at Barclays initiated coverage on Yahoo! (NASDAQ: 

 <http://feeds.feedburner.com/~r/benzinga/analyst-ratings/initiation/~4/dbDleKy1ew4> 


View article... <http://feeds.benzinga.com/~r/benzinga/analyst-ratings/initiation/~3/dbDleKy1ew4/benzingas-top-initiations> 

"|"<html><head><base href=""http://feeds.benzinga.com/benzinga/analyst-ratings/initiation?format=xml""></head><style><!-- body {font-family:""Calibri"";} --></style><body><table><tr><td><p>Analysts at Barclays initiated coverage on Yahoo! (NASDAQ: <a ...</p><img src=""http://feeds.feedburner.com/~r/benzinga/analyst-ratings/initiation/~4/dbDleKy1ew4"" height=""1"" width=""1""/></td></tr></table><p><BR/><A HREF=""http://feeds.benzinga.com/~r/benzinga/analyst-ratings/initiation/~3/dbDleKy1ew4/benzingas-top-initiations"">View article...</A></p></body></html>"
|"Ali Berri"||"6/27/2014 12:12:28 PM"|"UPDATE: Barrington Initiates Coverage On Sonus Networks"|"In a report released Friday, Barrington Research ...

 <http://feeds.feedburner.com/~r/benzinga/analyst-ratings/initiation/~4/yM17ozwGFy4> 


View article... <http://feeds.benzinga.com/~r/benzinga/analyst-ratings/initiation/~3/yM17ozwGFy4/update-barrington-initiates-coverage-on-sonus-networks> 

"|"<html><head><base href=""http://feeds.benzinga.com/benzinga/analyst-ratings/initiation?format=xml""></head><style><!-- body {font-family:""Calibri"";} --></style><body><table><tr><td><p>  In a report released Friday, Barrington Research ...</p><img src=""http://feeds.feedburner.com/~r/benzinga/analyst-ratings/initiation/~4/yM17ozwGFy4"" height=""1"" width=""1""/></td></tr></table><p><BR/><A HREF=""http://feeds.benzinga.com/~r/benzinga/analyst-ratings/initiation/~3/yM17ozwGFy4/update-barrington-initiates-coverage-on-sonus-networks"">View article...</A></p></body></html>"
|"Dwight Einhorn"||"6/27/2014 9:25:07 AM"|"UPDATE: Stifel Initiates Coverage On Analog Devices On Multiple Positive Factors"|"In a report published Friday, Stifel analyst ...

 <http://feeds.feedburner.com/~r/benzinga/analyst-ratings/initiation/~4/WEuYaNm-TRg> 


View article... <http://feeds.benzinga.com/~r/benzinga/analyst-ratings/initiation/~3/WEuYaNm-TRg/update-stifel-initiates-coverage-on-analog-devices-on-mu> 

"|"<html><head><base href=""http://feeds.benzinga.com/benzinga/analyst-ratings/initiation?format=xml""></head><style><!-- body {font-family:""Calibri"";} --></style><body><table><tr><td><p>In a report published Friday, Stifel analyst ...</p><img src=""http://feeds.feedburner.com/~r/benzinga/analyst-ratings/initiation/~4/WEuYaNm-TRg"" height=""1"" width=""1""/></td></tr></table><p><BR/><A HREF=""http://feeds.benzinga.com/~r/benzinga/analyst-ratings/initiation/~3/WEuYaNm-TRg/update-stifel-initiates-coverage-on-analog-devices-on-mu"">View article...</A></p></body></html>"
|"Dwight Einhorn"||"6/27/2014 9:18:57 AM"|"UPDATE: Sterne Agee Initiates Coverage On Molina Healthcare As Mean Reversion Is Underway"|"In a report published Friday, Sterne Agee analyst ...

 <http://feeds.feedburner.com/~r/benzinga/analyst-ratings/initiation/~4/IHR4JYKOGE8> 


View article... <http://feeds.benzinga.com/~r/benzinga/analyst-ratings/initiation/~3/IHR4JYKOGE8/update-sterne-agee-initiates-coverage-on-molina-healthca> 

"|"<html><head><base href=""http://feeds.benzinga.com/benzinga/analyst-ratings/initiation?format=xml""></head><style><!-- body {font-family:""Calibri"";} --></style><body><table><tr><td><p>In a report published Friday, Sterne Agee analyst ...</p><img src=""http://feeds.feedburner.com/~r/benzinga/analyst-ratings/initiation/~4/IHR4JYKOGE8"" height=""1"" width=""1""/></td></tr></table><p><BR/><A HREF=""http://feeds.benzinga.com/~r/benzinga/analyst-ratings/initiation/~3/IHR4JYKOGE8/update-sterne-agee-initiates-coverage-on-molina-healthca"">View article...</A></p></body></html>"
|"Eric Niederer"||"6/27/2014 9:16:47 AM"|"MLV Initiates Coverage On Healthcare REIT Sector"|"In a note dated June 26, MLV & Co. analyst Paul ...

 <http://feeds.feedburner.com/~r/benzinga/analyst-ratings/initiation/~4/EcYBkCjV7iE> 


View article... <http://feeds.benzinga.com/~r/benzinga/analyst-ratings/initiation/~3/EcYBkCjV7iE/mlv-initiates-coverage-on-healthcare-reit-sector> 

"|"<html><head><base href=""http://feeds.benzinga.com/benzinga/analyst-ratings/initiation?format=xml""></head><style><!-- body {font-family:""Calibri"";} --></style><body><table><tr><td><p>  In a note dated June 26, MLV &amp; Co. analyst Paul ...</p><img src=""http://feeds.feedburner.com/~r/benzinga/analyst-ratings/initiation/~4/EcYBkCjV7iE"" height=""1"" width=""1""/></td></tr></table><p><BR/><A HREF=""http://feeds.benzinga.com/~r/benzinga/analyst-ratings/initiation/~3/EcYBkCjV7iE/mlv-initiates-coverage-on-healthcare-reit-sector"">View article...</A></p></body></html>"
|"Dwight Einhorn"||"6/27/2014 9:10:32 AM"|"UPDATE: Sterne Agee Initiates Coverage On WellCare Health Plans As Potential Partners Could Dance Elsewhere"|"In a report published Friday, Sterne Agee analyst ...

 <http://feeds.feedburner.com/~r/benzinga/analyst-ratings/initiation/~4/MbAeoXQ9wFE> 


View article... <http://feeds.benzinga.com/~r/benzinga/analyst-ratings/initiation/~3/MbAeoXQ9wFE/update-sterne-agee-initiates-coverage-on-wellcare-health> 

"|"<html><head><base href=""http://feeds.benzinga.com/benzinga/analyst-ratings/initiation?format=xml""></head><style><!-- body {font-family:""Calibri"";} --></style><body><table><tr><td><p>In a report published Friday, Sterne Agee analyst ...</p><img src=""http://feeds.feedburner.com/~r/benzinga/analyst-ratings/initiation/~4/MbAeoXQ9wFE"" height=""1"" width=""1""/></td></tr></table><p><BR/><A HREF=""http://feeds.benzinga.com/~r/benzinga/analyst-ratings/initiation/~3/MbAeoXQ9wFE/update-sterne-agee-initiates-coverage-on-wellcare-health"">View article...</A></p></body></html>"
|"Dwight Einhorn"||"6/27/2014 9:09:30 AM"|"UPDATE: Sterne Agee Initiates Coverage On Aetna On Less Earnings Power Upside Potential"|"In a report published Friday, Sterne Agee ...

 <http://feeds.feedburner.com/~r/benzinga/analyst-ratings/initiation/~4/AFAMn2NjYJI> 


View article... <http://feeds.benzinga.com/~r/benzinga/analyst-ratings/initiation/~3/AFAMn2NjYJI/update-sterne-agee-initiates-coverage-on-aetna-on-less-e> 

"|"<html><head><base href=""http://feeds.benzinga.com/benzinga/analyst-ratings/initiation?format=xml""></head><style><!-- body {font-family:""Calibri"";} --></style><body><table><tr><td><p>In a report published Friday, Sterne Agee ...</p><img src=""http://feeds.feedburner.com/~r/benzinga/analyst-ratings/initiation/~4/AFAMn2NjYJI"" height=""1"" width=""1""/></td></tr></table><p><BR/><A HREF=""http://feeds.benzinga.com/~r/benzinga/analyst-ratings/initiation/~3/AFAMn2NjYJI/update-sterne-agee-initiates-coverage-on-aetna-on-less-e"">View article...</A></p></body></html>"
|"Dwight Einhorn"||"6/27/2014 9:08:38 AM"|"UPDATE: Sterne Agee Initiates Coverage On UnitedHealth On Recent Rough Spell"|"In a report published Friday, Sterne Agee analyst ...

 <http://feeds.feedburner.com/~r/benzinga/analyst-ratings/initiation/~4/Gmqu9eTC6Qs> 


View article... <http://feeds.benzinga.com/~r/benzinga/analyst-ratings/initiation/~3/Gmqu9eTC6Qs/update-sterne-agee-initiates-coverage-on-unitedhealth-on> 

"|"<html><head><base href=""http://feeds.benzinga.com/benzinga/analyst-ratings/initiation?format=xml""></head><style><!-- body {font-family:""Calibri"";} --></style><body><table><tr><td><p>In a report published Friday, Sterne Agee analyst ...</p><img src=""http://feeds.feedburner.com/~r/benzinga/analyst-ratings/initiation/~4/Gmqu9eTC6Qs"" height=""1"" width=""1""/></td></tr></table><p><BR/><A HREF=""http://feeds.benzinga.com/~r/benzinga/analyst-ratings/initiation/~3/Gmqu9eTC6Qs/update-sterne-agee-initiates-coverage-on-unitedhealth-on"">View article...</A></p></body></html>"
|"Dwight Einhorn"||"6/27/2014 8:54:29 AM"|"UPDATE: Sterne Agee Initiates Coverage On WellPoint On Positive Bias"|"In a report published Friday, Sterne Agee ...

 <http://feeds.feedburner.com/~r/benzinga/analyst-ratings/initiation/~4/Dc4yHK5ZNEU> 


View article... <http://feeds.benzinga.com/~r/benzinga/analyst-ratings/initiation/~3/Dc4yHK5ZNEU/update-sterne-agee-initiates-coverage-on-wellpoint-on-po> 

"|"<html><head><base href=""http://feeds.benzinga.com/benzinga/analyst-ratings/initiation?format=xml""></head><style><!-- body {font-family:""Calibri"";} --></style><body><table><tr><td><p>In a report published Friday, Sterne Agee ...</p><img src=""http://feeds.feedburner.com/~r/benzinga/analyst-ratings/initiation/~4/Dc4yHK5ZNEU"" height=""1"" width=""1""/></td></tr></table><p><BR/><A HREF=""http://feeds.benzinga.com/~r/benzinga/analyst-ratings/initiation/~3/Dc4yHK5ZNEU/update-sterne-agee-initiates-coverage-on-wellpoint-on-po"">View article...</A></p></body></html>"
|"Dwight Einhorn"||"6/27/2014 8:46:23 AM"|"UPDATE: Sterne Agee Initiates Coverage On Centene As Premium Performance Deserves Premium Multiple"|"In a report published Friday, Sterne Agee ...

 <http://feeds.feedburner.com/~r/benzinga/analyst-ratings/initiation/~4/AagNQaqhVgc> 


View article... <http://feeds.benzinga.com/~r/benzinga/analyst-ratings/initiation/~3/AagNQaqhVgc/update-sterne-agee-initiates-coverage-on-centene-as-prem> 

"|"<html><head><base href=""http://feeds.benzinga.com/benzinga/analyst-ratings/initiation?format=xml""></head><style><!-- body {font-family:""Calibri"";} --></style><body><table><tr><td><p>In a report published Friday, Sterne Agee ...</p><img src=""http://feeds.feedburner.com/~r/benzinga/analyst-ratings/initiation/~4/AagNQaqhVgc"" height=""1"" width=""1""/></td></tr></table><p><BR/><A HREF=""http://feeds.benzinga.com/~r/benzinga/analyst-ratings/initiation/~3/AagNQaqhVgc/update-sterne-agee-initiates-coverage-on-centene-as-prem"">View article...</A></p></body></html>"
|"Dwight Einhorn"||"6/27/2014 8:15:05 AM"|"UPDATE: Imperial Capital Initiates Coverage On Datawatch On Potential Early Market Leadership"|"In a report published Friday, Imperial Capital ...

 <http://feeds.feedburner.com/~r/benzinga/analyst-ratings/initiation/~4/fA3VOtY_8eQ> 


View article... <http://feeds.benzinga.com/~r/benzinga/analyst-ratings/initiation/~3/fA3VOtY_8eQ/update-imperial-capital-initiates-coverage-on-datawatch-> 

"|"<html><head><base href=""http://feeds.benzinga.com/benzinga/analyst-ratings/initiation?format=xml""></head><style><!-- body {font-family:""Calibri"";} --></style><body><table><tr><td><p>In a report published Friday, Imperial Capital ...</p><img src=""http://feeds.feedburner.com/~r/benzinga/analyst-ratings/initiation/~4/fA3VOtY_8eQ"" height=""1"" width=""1""/></td></tr></table><p><BR/><A HREF=""http://feeds.benzinga.com/~r/benzinga/analyst-ratings/initiation/~3/fA3VOtY_8eQ/update-imperial-capital-initiates-coverage-on-datawatch-"">View article...</A></p></body></html>"
|"Monica Gerson"||"6/27/2014 7:52:59 AM"|"Benzinga's Top Initiations"|"Analysts at Goldman Sachs initiated coverage on ITT (NYSE: ...

 <http://feeds.feedburner.com/~r/benzinga/analyst-ratings/initiation/~4/NrxjqJL765o> 


View article... <http://feeds.benzinga.com/~r/benzinga/analyst-ratings/initiation/~3/NrxjqJL765o/benzingas-top-initiations> 

"|"<html><head><base href=""http://feeds.benzinga.com/benzinga/analyst-ratings/initiation?format=xml""></head><style><!-- body {font-family:""Calibri"";} --></style><body><table><tr><td><p>Analysts at Goldman Sachs initiated coverage on ITT (NYSE: ...</p><img src=""http://feeds.feedburner.com/~r/benzinga/analyst-ratings/initiation/~4/NrxjqJL765o"" height=""1"" width=""1""/></td></tr></table><p><BR/><A HREF=""http://feeds.benzinga.com/~r/benzinga/analyst-ratings/initiation/~3/NrxjqJL765o/benzingas-top-initiations"">View article...</A></p></body></html>"
|"Dwight Einhorn"||"6/30/2014 9:17:07 AM"|"UPDATE: Credit Suisse Initiates Coverage On Lombard Medical On Positive Outlook For Aorfix"|"In a report published Monday, Credit Suisse analyst ...

 <http://feeds.feedburner.com/~r/benzinga/analyst-ratings/initiation/~4/mea43axD7OI> 


View article... <http://feeds.benzinga.com/~r/benzinga/analyst-ratings/initiation/~3/mea43axD7OI/update-credit-suisse-initiates-coverage-on-lombard-medic> 

"|"<html><head><base href=""http://feeds.benzinga.com/benzinga/analyst-ratings/initiation?format=xml""></head><style><!-- body {font-family:""Calibri"";} --></style><body><table><tr><td><p>In a report published Monday, Credit Suisse analyst ...</p><img src=""http://feeds.feedburner.com/~r/benzinga/analyst-ratings/initiation/~4/mea43axD7OI"" height=""1"" width=""1""/></td></tr></table><p><BR/><A HREF=""http://feeds.benzinga.com/~r/benzinga/analyst-ratings/initiation/~3/mea43axD7OI/update-credit-suisse-initiates-coverage-on-lombard-medic"">View article...</A></p></body></html>"
|"Dwight Einhorn"||"6/30/2014 9:15:48 AM"|"UPDATE: Credit Suisse Initiates Coverage On Endologix On Positive Outlook For Nellix"|"In a report published Monday, Credit Suisse ...

 <http://feeds.feedburner.com/~r/benzinga/analyst-ratings/initiation/~4/zL0_m-h53NQ> 


View article... <http://feeds.benzinga.com/~r/benzinga/analyst-ratings/initiation/~3/zL0_m-h53NQ/update-credit-suisse-initiates-coverage-on-endologix-on-> 

"|"<html><head><base href=""http://feeds.benzinga.com/benzinga/analyst-ratings/initiation?format=xml""></head><style><!-- body {font-family:""Calibri"";} --></style><body><table><tr><td><p>In a report published Monday, Credit Suisse ...</p><img src=""http://feeds.feedburner.com/~r/benzinga/analyst-ratings/initiation/~4/zL0_m-h53NQ"" height=""1"" width=""1""/></td></tr></table><p><BR/><A HREF=""http://feeds.benzinga.com/~r/benzinga/analyst-ratings/initiation/~3/zL0_m-h53NQ/update-credit-suisse-initiates-coverage-on-endologix-on-"">View article...</A></p></body></html>"
|"Monica Gerson"||"6/30/2014 8:01:25 AM"|"Benzinga's Top Initiations"|"Analysts at Nomura initiated coverage on Receptos (NASDAQ: 

 <http://feeds.feedburner.com/~r/benzinga/analyst-ratings/initiation/~4/dSczSiJjBro> 


View article... <http://feeds.benzinga.com/~r/benzinga/analyst-ratings/initiation/~3/dSczSiJjBro/benzingas-top-initiations> 

"|"<html><head><base href=""http://feeds.benzinga.com/benzinga/analyst-ratings/initiation?format=xml""></head><style><!-- body {font-family:""Calibri"";} --></style><body><table><tr><td><p>Analysts at Nomura initiated coverage on Receptos (NASDAQ: <a ...</p><img src=""http://feeds.feedburner.com/~r/benzinga/analyst-ratings/initiation/~4/dSczSiJjBro"" height=""1"" width=""1""/></td></tr></table><p><BR/><A HREF=""http://feeds.benzinga.com/~r/benzinga/analyst-ratings/initiation/~3/dSczSiJjBro/benzingas-top-initiations"">View article...</A></p></body></html>"
|"Garrett Cook"||"7/1/2014 12:22:08 PM"|"Mid-Day Market Update: Acuity Brands Drops On Downbeat Results; GoPro Shares Surge"|"Mid-Day Market Update: Acuity Brands Drops On Downbeat Results; GoPro Shares Surge

Midway ...

 <http://feeds.feedburner.com/~r/benzinga/analyst-ratings/initiation/~4/Vga9DyaeK0o> 


View article... <http://feeds.benzinga.com/~r/benzinga/analyst-ratings/initiation/~3/Vga9DyaeK0o/mid-day-market-update-acuity-brands-drops-on-downbeat-results-gopro-shar> 

"|"<html><head><base href=""http://feeds.benzinga.com/benzinga/analyst-ratings/initiation?format=xml""></head><style><!-- body {font-family:""Calibri"";} --></style><body><table><tr><td><p>  Mid-Day Market Update: Acuity Brands Drops On Downbeat Results; GoPro Shares Surge</p> <p>  Midway ...</p><img src=""http://feeds.feedburner.com/~r/benzinga/analyst-ratings/initiation/~4/Vga9DyaeK0o"" height=""1"" width=""1""/></td></tr></table><p><BR/><A HREF=""http://feeds.benzinga.com/~r/benzinga/analyst-ratings/initiation/~3/Vga9DyaeK0o/mid-day-market-update-acuity-brands-drops-on-downbeat-results-gopro-shar"">View article...</A></p></body></html>"
|"Shazir Mucklai"||"7/1/2014 12:02:30 PM"|"UPDATE: Barrington Initiates Coverage On Restoration Hardware"|"In a research note released Tuesday, Barrington ...

 <http://feeds.feedburner.com/~r/benzinga/analyst-ratings/initiation/~4/SMe3MVM4KMs> 


View article... <http://feeds.benzinga.com/~r/benzinga/analyst-ratings/initiation/~3/SMe3MVM4KMs/update-barrington-initiates-coverage-on-restoration-hard> 

"|"<html><head><base href=""http://feeds.benzinga.com/benzinga/analyst-ratings/initiation?format=xml""></head><style><!-- body {font-family:""Calibri"";} --></style><body><table><tr><td><p>  In a research note released Tuesday, Barrington ...</p><img src=""http://feeds.feedburner.com/~r/benzinga/analyst-ratings/initiation/~4/SMe3MVM4KMs"" height=""1"" width=""1""/></td></tr></table><p><BR/><A HREF=""http://feeds.benzinga.com/~r/benzinga/analyst-ratings/initiation/~3/SMe3MVM4KMs/update-barrington-initiates-coverage-on-restoration-hard"">View article...</A></p></body></html>"
|"Eric Niederer"||"7/1/2014 11:13:45 AM"|"UPDATE: Barrington Research Initiates Coverage On Sotheby's "|"In a note released on Tuesday morning, Barrington Research analyst Kristine ...

 <http://feeds.feedburner.com/~r/benzinga/analyst-ratings/initiation/~4/Mc35kZ-blGE> 


View article... <http://feeds.benzinga.com/~r/benzinga/analyst-ratings/initiation/~3/Mc35kZ-blGE/update-barrington-research-initiates-coverage-on-sotheby> 

"|"<html><head><base href=""http://feeds.benzinga.com/benzinga/analyst-ratings/initiation?format=xml""></head><style><!-- body {font-family:""Calibri"";} --></style><body><table><tr><td><p>  In a note released on Tuesday morning, Barrington Research analyst Kristine ...</p><img src=""http://feeds.feedburner.com/~r/benzinga/analyst-ratings/initiation/~4/Mc35kZ-blGE"" height=""1"" width=""1""/></td></tr></table><p><BR/><A HREF=""http://feeds.benzinga.com/~r/benzinga/analyst-ratings/initiation/~3/Mc35kZ-blGE/update-barrington-research-initiates-coverage-on-sotheby"">View article...</A></p></body></html>"
|"Dwight Einhorn"||"7/1/2014 10:32:34 AM"|"UPDATE: Stifel Initiates Coverage On Arista Networks On Mixed Factors"|"In a report published Tuesday, Stifel ...

 <http://feeds.feedburner.com/~r/benzinga/analyst-ratings/initiation/~4/t-QINEQ4DMo> 


View article... <http://feeds.benzinga.com/~r/benzinga/analyst-ratings/initiation/~3/t-QINEQ4DMo/update-stifel-initiates-coverage-on-arista-networks-on-m> 

"|"<html><head><base href=""http://feeds.benzinga.com/benzinga/analyst-ratings/initiation?format=xml""></head><style><!-- body {font-family:""Calibri"";} --></style><body><table><tr><td><p>In a report published Tuesday, Stifel ...</p><img src=""http://feeds.feedburner.com/~r/benzinga/analyst-ratings/initiation/~4/t-QINEQ4DMo"" height=""1"" width=""1""/></td></tr></table><p><BR/><A HREF=""http://feeds.benzinga.com/~r/benzinga/analyst-ratings/initiation/~3/t-QINEQ4DMo/update-stifel-initiates-coverage-on-arista-networks-on-m"">View article...</A></p></body></html>"
|"Dwight Einhorn"||"7/1/2014 10:19:47 AM"|"UPDATE: Morgan Stanley Initiates Coverage On Westport Innovations On Long-Term Bullish View"|"In a report published Tuesday, Morgan Stanley analyst ...

 <http://feeds.feedburner.com/~r/benzinga/analyst-ratings/initiation/~4/7TNRYxD9o6w> 


View article... <http://feeds.benzinga.com/~r/benzinga/analyst-ratings/initiation/~3/7TNRYxD9o6w/update-morgan-stanley-initiates-coverage-on-westport-inn> 

"|"<html><head><base href=""http://feeds.benzinga.com/benzinga/analyst-ratings/initiation?format=xml""></head><style><!-- body {font-family:""Calibri"";} --></style><body><table><tr><td><p>In a report published Tuesday, Morgan Stanley analyst ...</p><img src=""http://feeds.feedburner.com/~r/benzinga/analyst-ratings/initiation/~4/7TNRYxD9o6w"" height=""1"" width=""1""/></td></tr></table><p><BR/><A HREF=""http://feeds.benzinga.com/~r/benzinga/analyst-ratings/initiation/~3/7TNRYxD9o6w/update-morgan-stanley-initiates-coverage-on-westport-inn"">View article...</A></p></body></html>"
|"Eric Niederer"||"7/1/2014 9:34:18 AM"|"UPDATE: Lake Street Initiates Coverage On Value Vision Media"|"Shares of Value Vision Media (NASDAQ: VVTV <http://feeds.benzinga.com/stock/vvtv#NASDAQ> ) opened ...

 <http://feeds.feedburner.com/~r/benzinga/analyst-ratings/initiation/~4/ZRwo61wg5E8> 


View article... <http://feeds.benzinga.com/~r/benzinga/analyst-ratings/initiation/~3/ZRwo61wg5E8/update-lake-street-initiates-coverage-on-value-vision-me> 

"|"<html><head><base href=""http://feeds.benzinga.com/benzinga/analyst-ratings/initiation?format=xml""></head><style><!-- body {font-family:""Calibri"";} --></style><body><table><tr><td><p>  Shares of<strong> Value Vision Media</strong> (NASDAQ: <a class=""ticker"" href=""/stock/vvtv#NASDAQ"">VVTV</a>) opened ...</p><img src=""http://feeds.feedburner.com/~r/benzinga/analyst-ratings/initiation/~4/ZRwo61wg5E8"" height=""1"" width=""1""/></td></tr></table><p><BR/><A HREF=""http://feeds.benzinga.com/~r/benzinga/analyst-ratings/initiation/~3/ZRwo61wg5E8/update-lake-street-initiates-coverage-on-value-vision-me"">View article...</A></p></body></html>"
|"Eric Niederer"||"7/1/2014 9:14:29 AM"|"Canaccord Initiates Coverage On Exploration & Production Sector"|"Canaccord Genuity issued a note Tuesday in which the firm initiated ...

 <http://feeds.feedburner.com/~r/benzinga/analyst-ratings/initiation/~4/13NAOE1BE4o> 


View article... <http://feeds.benzinga.com/~r/benzinga/analyst-ratings/initiation/~3/13NAOE1BE4o/canaccord-initiates-coverage-on-exploration-production-s> 

"|"<html><head><base href=""http://feeds.benzinga.com/benzinga/analyst-ratings/initiation?format=xml""></head><style><!-- body {font-family:""Calibri"";} --></style><body><table><tr><td><p>  Canaccord Genuity issued a note Tuesday in which the firm initiated ...</p><img src=""http://feeds.feedburner.com/~r/benzinga/analyst-ratings/initiation/~4/13NAOE1BE4o"" height=""1"" width=""1""/></td></tr></table><p><BR/><A HREF=""http://feeds.benzinga.com/~r/benzinga/analyst-ratings/initiation/~3/13NAOE1BE4o/canaccord-initiates-coverage-on-exploration-production-s"">View article...</A></p></body></html>"
